Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1433925367,1602478854,1733343635,1891724148,2091589539,2199960898,2263581615,2459334231,2566892306,2579535397,2872847339,2799573364,2637127973,2867204479,3154765185,2706594378,3391212936,3161477225,3615027526,3283103912,3122230323,3163613121,3285168876,3533775695,3641308245,3672197163,3739360304,3824342329,,,2872847339
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,43028339586,50011958157,51128371957,59760957551,65266760469,69050351844,72481076024,70796494471,75695088352,78246825057,83338025783,
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,35480228511,40591495320,20613872367,19522786168,17034800885,32787767563,34876995533,42075079114,43379232969,41869017894,45824413134,49241242734,59221986499,62822142472,70886902140,83763899427,95301356718,1.12E+11,1.21E+11,1.32E+11,1.39E+11,1.48E+11,1.71E+11,1.85E+11,2.07E+11,1.94E+11,1.94E+11,2.05E+11,2.02E+11,2.03E+11,45824413134
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8370388897,6133202530,5654999650,6795626703,7387673247,8624189972,9650428398,8743607077,9737208104,11044864238,12296005867,13662090235,14638822591,15647852171,16816911804,18045149060,20204747115,22207086231,24354644069,25406899794,27788453991,29662624696,30304881882,31131627755,32830050127,33981492264,35305524052,36910290602,40009317129,41256932187,12296005867
Arab World,ARB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1.56E+12,1.73E+12,1.86E+12,1.97E+12,2.04E+12,2.14E+12,2.26E+12,2.39E+12,2.58E+12,2.66E+12,2.84E+12,2.96E+12,2.99E+12,3.19E+12,3.58E+12,3.88E+12,4.28E+12,4.62E+12,4.98E+12,5.04E+12,5.31E+12,5.58E+12,6.10E+12,6.24E+12,6.28E+12,5.80E+12,5.69E+12,6.01E+12,6.26E+12,6.48E+12,2.84E+12
United Arab Emirates,ARE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,3.23E+11,3.35E+11,3.35E+11,3.68E+11,4.16E+11,4.55E+11,5.18E+11,5.55E+11,5.72E+11,5.45E+11,5.55E+11,6.06E+11,6.32E+11,6.48E+11,6.79E+11,6.04E+11,6.02E+11,6.42E+11,6.63E+11,6.88E+11,3.23E+11
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2.24E+11,2.57E+11,2.87E+11,3.20E+11,3.45E+11,3.41E+11,3.66E+11,4.02E+11,4.20E+11,4.11E+11,4.17E+11,4.06E+11,3.60E+11,4.03E+11,4.18E+11,4.68E+11,5.68E+11,6.40E+11,6.80E+11,6.41E+11,7.11E+11,7.75E+11,7.99E+11,8.29E+11,8.21E+11,8.50E+11,8.66E+11,1.01E+12,1.00E+12,9.94E+11,4.17E+11
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9453760751,8949306248,4456181489,4973744197,5343686503,6007522411,6483233954,7021394263,7415702079,7761380498,8411785420,9413974116,10873948358,12607269793,14422298035,16947791950,19865408956,23342625659,25565242043,21756361160,22666908342,23905121367,28085043286,30249264889,30546350170,30350856298,32159779382,36937299281,39120612787,42873618809,8411785420
Antigua and Barbuda,ATG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,655431861.5,716042418.9,746570206.3,818369455.3,889659836.1,867418177.6,946585202.5,1024674940,1089211545,1143958123,1211227442,1210104618,1216337819,1322114645,1430240270,1583350594,1839948701,2065932007,2096019676,1865595835,1770640004,1760071677,1713287782,1663882355,1676616006,1658065094,1755596324,1791695103,1981554450,2115405842,1211227442
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2.85E+11,2.95E+11,3.06E+11,3.29E+11,3.50E+11,3.64E+11,3.88E+11,4.10E+11,4.38E+11,4.63E+11,4.90E+11,5.16E+11,5.49E+11,5.75E+11,6.12E+11,6.40E+11,6.82E+11,7.27E+11,7.63E+11,8.44E+11,8.32E+11,9.00E+11,9.44E+11,1.04E+12,1.07E+12,1.08E+12,1.12E+12,1.16E+12,1.24E+12,1.31E+12,4.90E+11
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1.50E+11,1.59E+11,1.67E+11,1.72E+11,1.80E+11,1.87E+11,1.95E+11,2.02E+11,2.11E+11,2.17E+11,2.33E+11,2.36E+11,2.51E+11,2.60E+11,2.75E+11,2.87E+11,3.12E+11,3.26E+11,3.47E+11,3.41E+11,3.55E+11,3.74E+11,3.92E+11,4.07E+11,4.18E+11,4.27E+11,4.60E+11,4.74E+11,5.16E+11,5.39E+11,2.33E+11
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,24552345882,20117629241,18085261799,18631172640,20080343843,22323681690,24155231956,25945513010,29117438061,32461339753,36476072965,40054468928,50348201967,69470177009,86839747135,1.03E+11,1.17E+11,1.26E+11,1.26E+11,1.39E+11,1.53E+11,1.61E+11,1.39E+11,1.31E+11,1.33E+11,1.37E+11,1.44E+11,25945513010
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3309511461,3602805074,3713025778,3570136691,3501410198,3291411881,3074410878,3085716588,3278251697,3279287767,3417413481,3457302261,3658729575,3657760764,3909506771,4126198848,4521888838,4816030669,5157105457,5357360329,5721809553,6061708967,6368259239,7074395515,7630235753,8546596104,8355961626,8362807306,8735147302,9072309838,3417413481
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1.86E+11,1.97E+11,2.05E+11,2.09E+11,2.22E+11,2.32E+11,2.36E+11,2.47E+11,2.55E+11,2.66E+11,2.92E+11,3.02E+11,3.18E+11,3.27E+11,3.38E+11,3.52E+11,3.77E+11,3.96E+11,4.16E+11,4.15E+11,4.41E+11,4.53E+11,4.81E+11,4.99E+11,5.14E+11,5.28E+11,5.56E+11,5.81E+11,6.27E+11,6.55E+11,2.92E+11
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6147621824,6653076455,6864341322,7575369474,7855937991,8519329843,9058842190,9806556822,10390106949,11126529691,12039933515,12953894834,13731587221,14462457150,15527659081,16339425053,17469806798,18981657981,20396010410,20980955407,21626033958,22827277380,24162896617,26561886938,29012509444,30282958643,32384504144,33647417490,36807579149,40106880017,12039933515
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5185777587,5844055404,5987371798,6326943021,6535902914,7077909005,8056728417,8682396449,9420791432,10285670022,10688302847,11615694844,12242847625,13415234835,14439926118,16145340334,17809475213,19037726559,20514322617,21100393406,22740240437,24485121959,26157122985,27958185157,28468442315,29619149701,33766175224,37765264714,41074535712,44305023527,10688302847
