Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,36.41070307,31.54334256,28.7855756,25.91887251,24.51536066,22.7161967,22.02517478,21.9782092,20.53745681,18.84525779,17.70839284,17.1536228,16.83708638,16.79438767,17.95584091,18.22676542,18.76679918,19.56517622,19.99015369,19.78022452,19.84997587,19.02214284,18.44093062,18.47235747,17.95584091
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.19835787,10.91037489,10.94628763,10.52405239,10.9403662,9.844131296,10.12918843,8.970576873,9.505661484,8.877752209,7.45381053,7.889281549,7.757382445,7.462984288,6.760936237,6.129071234,5.813720967,5.442958493,4.64850257,5.406125654,5.177573263,5.07009708,5.014735387,5.237569708,5.184999167,5.432857495,5.48290901,5.119066316,4.735026614,4.56047038,5.177573263
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395409874,1.094244002,0.976671168,0.827305464,1.036886889,0.763452742,0.671910149,0.638882185,0.643763044,0.639504607,0.740999247,0.776054568,0.77054734,0.71873896,0.730840171,0.763452742
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,5.296472124,6.088397131,7.132167451
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,1.779934031,1.802590389,1.745364956,1.576539781,1.643078029,1.615363486,1.719024634,1.666480089,1.667681777,1.59689853,1.613380836,1.730920535,1.748065754,1.609973946,1.756335988,1.652115213,1.6058909,1.547636104,1.491637243,1.633408459,1.933181839,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.99426012,13.94231166,11.98835603,1.633408459
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.209131877,3.182262326,3.053400782,3.263666646,3.349149777,3.021633065,3.392159576,3.243344481,3.038954458,3.061400552,3.119068182,3.503359969,3.948012139,2.888533759,3.062114492,2.883330027,2.726734442,2.201100136,2.338630424,2.291720397,2.197568265,2.276542366,2.254748049,2.278906495,2.216223655,2.372644114,2.403122994,2.704424891,2.458345956,2.121596985,2.197568265
Austria,AUT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,3.097119874,2.811281994,2.453334563,2.204440796,2.371545895,2.158596332,1.982470995,1.905483443,1.793343924,1.722217322,1.647300213,1.670703396,1.562774411,1.491931898,1.476474393,1.259399635,1.303189459,1.41639156,1.342223027,1.146817768,1.267327672,1.401914934,1.34855139,1.254721216,1.200740564,1.129790194,1.110316479,1.210593152,1.13438306,1.085623332,1.267327672
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,26.50068213,30.48278443,26.05962532,27.10955414,32.3456632,25.3444559,24.96157506,20.12791692,18.14799744,18.3995126,16.08486467,14.83745955,13.95463918,12.42566291,10.98801904,9.147534438,7.091037117,6.540082157,5.570891841,6.121933065,5.544566113,5.076225951,5.139769508,5.36626448,5.319406718,6.177638838,5.605111775,5.607369011,5.212380762,5.716874181,5.544566113
Burundi,BDI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,51.05685018,48.59791032,48.00452171,47.16981169,40.73232545,42.02269313,53.38092151,42.42186415,44.53870405,47.63530413,44.10704011,43.84314206,43.33361124,42.8412837,41.90260497,40.84812339,40.63768227,34.93417192,38.0048233,36.72136414,38.43054529,36.704576,35.4205377,38.3671082,34.95819234,30.68083011,31.54433409,28.54664701,29.01190049,28.89755838,38.43054529
Belgium,BEL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,1.306623478,1.32831141,1.340821012,1.255675473,1.076235331,1.17600528,1.109350298,1.033134143,1.029444503,1.022910541,0.840639974,0.907269381,0.88752394,0.712338067,0.645274319,0.765104157,0.64803422,0.781226735,0.681174913,0.637835968,0.68641478,0.628433476,0.665181843,0.565288952,0.626245135,0.765104157
Benin,BEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,34.65494536,35.0437735,33.94190414,34.1194608,32.29399457,33.09015959,35.70530039,35.78193016,36.57664979,24.53433491,23.54123399,25.04816274,25.38272928,24.45398374,26.52084928,26.6894285,26.63180343,26.97108697,26.82615619,26.97895538,25.8411355,25.79700083,25.76897583,25.27540464,25.61845297,26.39208509,27.7536355,28.48901653,28.08726564,26.87580163,25.8411355
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,30.4898331,31.67702324,30.51752524,27.32108582,26.72553755,27.3043698,23.26620805,23.24614375,22.58741576,22.65841112,22.71814808,21.84834058,20.58413442,19.8127183,19.26695957,18.57103955,18.03401651,17.80653678,17.59569554,17.10462905,17.00118126,16.80998676,16.17756317,15.493278,15.3516209,14.78299644,14.04554622,13.413466,13.0743171,12.68027164,17.00118126
Bulgaria,BGR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.74596502,15.39056743,11.61802789,9.93442623,11.49162861,9.218313712,9.592564177,20.47684372,13.41156528,12.95862641,10.97048275,10.60325324,9.710569628,9.095627254,8.452184761,7.283685884,6.096284921,4.654687763,5.874199629,4.235785718,4.009614732,4.641635001,4.407191625,4.482073971,4.522734187,4.02320785,4.024008471,4.034631896,3.370009597,3.236492593,4.009614732
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.949346076,0.882139771,0.909897,0.851378305,0.860341986,0.862944479,,,,,,,,,,,0.268763501,0.29227169,0.264810237,0.337284357,0.297677228,0.290850277,0.275737043,0.274789045,0.299909669,0.31623018,0.332168625,0.29059524,0.289107982,0.281718302,0.297677228
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.208528111,2.833734041,2.663010614,2.461287193,2.675084382,2.834149898,2.646910502,1.561818974,1.378559449,1.26759042,1.344646857,1.198629931,1.513315828,1.347224211,1.16175186,1.064435453,1.170424648,1.093391246,1.043131294,0.909640992,1.097490432,1.092304713,1.072711161,0.919722948,0.840563015,0.824025686,0.873538165,0.767771222,0.678078037,0.597990986,1.097490432
Bosnia and Herzegovina,BIH,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,35.85332285,20.69999851,20.70000031,17.51804573,15.96041002,13.26299203,8.903610232,8.867656188,8.274292743,7.341323681,8.869999827,8.297370379,8.054288694,7.704953273,7.20726994,7.076599733,6.796760081,6.757745777,6.13767227,6.841390006,5.951059096,6.238163739,6.369381022,5.601857227,5.885436755,5.597813361,6.796760081
Belarus,BLR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,22.94688222,22.22222222,22.82608696,17.15736041,13.58961389,15.76649671,15.0985983,13.41793201,12.06176361,12.70055756,12.09682717,10.35042974,10.12843222,8.635627708,8.850251441,8.518590809,8.578727592,8.303169959,8.666253694,8.131391577,8.891519589,8.001757555,8.131052249,6.809122268,7.302994927,6.283296561,6.895280624,7.565802538,6.590107726,6.784527975,8.891519589
Belize,BLZ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.25413934,15.86486576,15.40332445,14.55972114,14.58883556,15.43376306,15.29609884,14.93607774,14.27776894,15.06441488,14.64968451,13.15528301,12.78867629,14.5960244,14.42099206,13.45440316,12.80083461,11.70384555,11.11649462,11.2462575,11.66289936,11.65043127,13.42556964,13.71177979,13.76053945,12.85601868,10.42070869,11.2042987,9.563408508,9.563393774,11.66289936
Bermuda,BMU,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,0.799999258,0.799999454,0.69999885,0.699999068,0.668952155,0.69232761,0.795458124,0.821851058,0.844158465,0.801641532,,,,,0.286094289,0.312941026,0.281396535,0.328283344,0.211116703,0.227889497,0.307018453,0.274700811,0.23503913,0.219090759,0.286094289
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.35359787,15.54209756,14.40420249,14.64796411,15.24428595,14.85929937,14.18467931,14.91825951,12.62543215,13.25799236,12.96581268,13.25565282,12.95511869,13.42723687,13.3223838,11.7927212,10.93754787,10.01115609,10.44240446,11.1524078,10.38990567,9.769585879,9.812161889,9.966979494,9.740217555,10.2394941,11.17187541,11.58933594,11.48192416,12.22175758,10.38990567
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.873300859,6.788806688,6.779952159,6.563569585,8.536411053,5.011666465,4.768411211,4.685047029,4.750044784,4.64598154,4.750459976,4.801043016,5.475274893,6.167184386,5.665311576,4.651168823,4.370043778,4.416915436,4.567851183,4.476773992,4.115756488,4.34203512,4.168328224,4.506904938,4.325610539,4.319132751,4.891353587,4.602101159,4.418537692,4.436544793,4.115756488
