Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,136430000,154950000,175435000,220304999,215915000,255345000,224545000,201350001,250969999,248935000,235455000,321360614.5,374002933,336945700,339224000,324813400,401389600,455457100,691873900,686970110,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.5,980247680,982300000,708713690
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,637925667.4,576118920.3,,,,,,,,,,,,,,,,,3042274496,4265888740,5162440807,6344641960,7152304398,7288702711,7528549880,6976966154,7281910524,8097280956,8206682106,8497655795,5162440807
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,228335521.2,555691254.4,392514285.9,202442614.1,491400189.6,1198212373,731866198.1,375545950.3,634199422.3,1379588147,3196850749,8149079646,11196800894,17869411576,13664098154,19678661657,27039761554,31161778889,31500815462,27032344084,23790543425,23672191989,17455327771,15410405365,16334853784,19678661657
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,166509702.6,223594867.3,265298058,323376838.7,342425753,417921457.2,523112274.3,646305676.5,770581227.4,866478231.3,1038294231,1387912854,1439592137,1812802560,2161936583,2363791897,2368942443,2540673823,2471402725,2599863597,2773278107,2665215805,3138517990,3108607052,3588583657,3893560031,3763661059,2540673823
United Arab Emirates,ARE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,4890564527,5646813747,5977160986,6415331635,6963509610,7778376181,8350159124,8603051266,9305872456,10790300349,13631620189,14256130113,15355431325,15087811904,18529923698,21010295842,27617445823,77238765358,31694454694,26104201598,32785291883,37269318423,47035150431,68202650660,78424381665,93929134196,85390832746,95377648626,99503335479,1.08E+11,32785291883
Argentina,ARG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,6222040363,7462543636,11447031157,15499431244,16003265688,15979453702,19719017351,22424600097,24855741222,26350163486,25152117244,14555552760,10492424819,14157284136,19659591804,28081718502,32022297113,46149456856,46385380207,48006988635,52207549724,46265800526,43223270864,30533919651,31410813270,25520565580,38414518492,55314409205,66221501691,44880566052,52207549724
Armenia,ARM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,1293750.052,13586867.79,36108082.69,111182285.2,168201671.1,239225950.4,293162998.7,303511811.2,314200332.8,329632780.1,430974325.4,501977062.1,547758869.6,669480407.7,1071917964,1659090453,1406800823,2003623408,1865824297,1932471999,1799374399,2251610255,1489443371,1775293494,2204113991,2314113951,2259321869,2849645182,1865824297
Antigua and Barbuda,ATG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,27500000,32540000,50520000,37806867.79,45808258.36,59438706.34,47738676.62,50698392.34,59367608.18,69730255.84,63558884.53,79718831.04,87648341.46,113767366.7,120139161.9,127320746.2,142632588.8,143848808.5,138022502.6,127860399.4,136600155.3,147868733.6,162045102,202580587,297046137.5,355728253.4,330090979.3,313645370.8,328659747.5,279133212.7,136600155.3
Australia,AUS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,19318743724,19339711736,13852416773,14188550691,14313163753,14951886130,17402141302,17588261224,15377553385,21955814712,18821546024,18663980677,21567012300,33258076239,36925537509,43257063109,55078716458,26907894339,32923506492,41742190607,42267797177,46714016758,49138172006,52837027750,53910325023,45712035071,53555791523,66597718118,53880533420,58754685703,42267797177
Austria,AUT,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,17227717542,17414573770,19025543787,21878103248,23852061060,23368742795,26833509076,22021086580,25207674037,18923059531,17649557522,15598207439,13182007409,12729301827,12188419360,11827977058,12911210328,18193955715,16741449885,17903949015,22241623425,24768999165,27211429628,23316756962,25001493235,22239731668,23255493381,21565331649,23190665221,23616397438,22241623425
Azerbaijan,AZE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,0,590075.5847,2034228.476,120884190.9,213661231.4,467319243.5,448540667.5,672589591.9,679605504.1,724979353.9,720471772.5,802839749.2,1075084293,1177743664,2500372956,4273114882,6467239211,5363850354,6409059730,10273925785,11277345749,15175667724,15816416601,7319394112,6573862903,6680532217,6665989936,7042996710,6409059730
Burundi,BDI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,111668438.4,147473748.8,179911767.3,169711841.6,211303503.3,216108467.5,145960526.6,118039205.6,70480623.68,52981473.91,37646865.17,17974678.24,59105712.31,67366291.27,66173617.25,100575245.8,131138494.8,177130962.9,266537169.9,323088641.1,332085022.5,295447213.9,308757013.6,329308184.1,317139256.5,136134382.2,95158477.53,97402580.43,68126200.77,111373704.1,332085022.5
Belgium,BEL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,23788895634,22868663721,22146931621,21197694512,23474024354,24120463000,22609776070,20635950073,21012750278,13346240662,12271745172,13560301157,14697923742,14448826871,13990812128,11996383513,13436681104,16485311239,15680647981,23861674313,26779063929,29114266148,30768939404,26946175032,25444391273,24101851039,23480922147,26151437584,26856799009,28969986952,26779063929
Bangladesh,BGD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,659565596,1307945065,1853480850,2446571611,3174800835,2376175210,1869479672,1610776837,1935771266,1634375949,1515788656,1305630681,1721734792,2624623706,3221759633,2825004864,3877163419,5277479281,5787356027,10341543874,11174828667,9174749651,12754226900,18087689200,22319788312,27493077972,32283838539,33431482893,32028383717,32696936140,11174828667
Bulgaria,BGR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,670207829.9,1241109201,1052450306,1396927155,1635187896,864262294,2485359968,3056953866,3264673603,3507198891,3646131848,4846429934,6825720113,9337108133,8697081082,11756001867,17544560020,17930378434,18522121029,17223204559,17215731650,20507099695,19883353048,20129698078,22153050489,25176065816,28375830876,28711039865,27901750799,17223204559
Bahrain,BHR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1292613497,1567656863,1448449007,1360774759,1227157593,1337941166,1373829389,1333801423,1122372720,1412574532,1605306698,1725453561,1777159820,1840973998,2006203185,2051923932,2895643505,4342187750,4050919099,4008299045,5299463737,4774194829,5454261307,5527718440,6229406003,3546207932,2611989314,2823123079,2334278370,3902650742,5299463737
"Bahamas, The",BHS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,158165375.4,181313537.6,155332535.4,172283366.9,176619982,179199375.1,171391392.4,227046333.5,346518164.9,410499712.2,349644583.2,319252843.7,380645829.4,491108558.2,674401942.8,586297936.2,461331327.1,464482895.4,567909087.7,1009823820,1044153800,1070217425,846941347.8,807408405,874337064.8,895475136.3,1001933945,1413972941,1345344674,1757782754,1044153800
Bosnia and Herzegovina,BIH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,80406088.86,174530374.7,452403157.5,496626475.4,1233132927,1336266925,1813519793,2427266571,2547614647,3671010361,5041780929,4479825860,4575111867,4411161780,4247540639,4389987071,4984005031,4860208933,4790984891,5136418168,6473729519,6808433501,7207699940,4411161780
Belarus,BLR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,100987552.6,377020387.9,469150024.1,393699160.8,702756649.1,294270277.3,350495841.3,390676493.5,687361275.1,636538852.3,836974642.7,1341819427,1386410521,4178575862,3063153365,5640214197,5025440612,7863285897,8094992776,6654216940,5067715364,4172797260,4907608003,7315236709,7157559690,9393817369,5025440612
